id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min,is_suspicious
0,8,ad_post,other,urban,android,38.4,2,1,1,594.16,3,91,0,1,0,2.3,0
1,4,ad_post,fashion,urban,android,20.0,1,0,1,134.47,2,150,0,0,0,13.6,0
2,4,ad_post,other,metro,ios,46.7,3,1,1,198.52,3,72,0,0,0,4.2,0
3,3,ad_post,furniture,metro,android,44.3,3,1,2,141.2,3,0,0,0,0,19.8,0
4,1,ad_post,electronics,metro,web,211.2,5,0,0,81.39,3,9,0,0,1,23.3,0
5,11,message_send,phones,rural,android,31.9,6,0,2,502.33,5,247,0,0,0,26.3,0
6,6,message_send,electronics,rural,android,133.9,9,0,0,46.4,2,188,0,0,0,3.2,0
7,3,ad_post,other,metro,android,5.8,3,0,0,209.24,4,0,0,0,1,3.5,0
8,14,message_send,fashion,urban,web,38.7,4,0,0,41.47,2,135,0,0,1,14.6,0
9,1,message_send,other,rural,android,71.1,1,1,1,432.86,6,88,0,0,1,21.8,0
10,4,ad_post,phones,urban,ios,57.6,1,0,0,,8,273,0,0,0,4.4,0
11,6,ad_post,phones,urban,android,40.4,3,0,1,,2,201,0,1,0,7.8,0
12,12,message_send,phones,urban,android,50.9,4,0,0,157.21,3,122,0,0,0,17.6,0
13,13,ad_post,other,urban,android,59.9,1,1,1,132.63,2,78,0,0,0,12.4,0
14,14,message_send,electronics,rural,ios,11.3,4,0,0,172.11,0,151,0,0,0,10.5,0
15,9,ad_post,fashion,metro,android,27.0,1,0,1,181.36,2,29,1,0,0,21.6,1
16,7,message_send,fashion,metro,android,20.4,3,0,1,131.54,1,286,0,0,0,2.8,0
17,4,ad_post,electronics,rural,ios,53.2,2,0,0,719.39,1,176,0,0,0,7.9,0
18,6,message_send,other,rural,android,21.5,4,0,1,381.48,2,108,0,0,0,13.8,0
19,6,ad_post,other,metro,android,307.0,5,0,1,119.78,6,37,0,1,0,5.9,0
20,6,ad_post,other,rural,web,6.1,2,0,0,43.13,1,42,0,0,1,21.8,0
21,7,ad_post,phones,metro,android,136.4,5,0,1,71.29,4,154,0,0,0,32.8,0
22,12,ad_post,fashion,urban,android,43.0,8,0,0,,3,75,0,0,0,24.1,0
23,13,ad_post,other,metro,android,147.7,3,0,1,139.43,2,114,0,0,0,16.2,0
24,14,ad_post,electronics,urban,android,30.0,1,0,0,35.35,5,117,0,0,0,4.8,0
25,5,ad_post,electronics,,android,109.2,2,0,1,84.4,1,0,0,0,0,27.4,0
26,4,ad_post,electronics,urban,android,44.9,2,0,1,263.65,2,40,0,0,0,27.6,0
27,12,message_send,furniture,urban,android,80.2,4,0,0,123.67,5,224,0,0,1,46.8,0
