id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min
0,1,message_send,bikes,,android,46.6,2,0,1,149.83,9,96,0,0,0,37.2
1,2,ad_post,fashion,rural,web,131.6,3,1,0,123.22,4,108,0,0,0,32.5
2,2,message_send,bikes,,android,135.0,2,0,1,223.22,2,227,0,1,1,11.3
3,5,ad_post,phones,rural,ios,81.3,5,0,1,1152.26,8,72,1,1,1,2.8
4,3,message_send,furniture,metro,web,33.2,3,0,0,100.22,2,210,0,0,0,10.2
5,5,message_send,electronics,metro,android,38.0,4,1,0,99.0,3,115,0,0,1,5.9
6,3,ad_post,electronics,rural,android,11.0,2,0,0,175.59,2,100,0,0,0,17.9
7,2,message_send,bikes,urban,android,55.9,3,0,0,150.08,6,160,0,0,0,2.1
8,3,ad_post,other,urban,ios,96.2,5,0,0,,3,108,0,0,0,9.0
9,4,message_send,other,urban,web,48.0,4,0,1,131.58,9,199,0,0,0,5.6
10,1,ad_post,furniture,urban,android,76.2,5,0,1,210.36,3,15,0,0,1,22.4
11,2,ad_post,electronics,metro,android,57.5,4,0,1,236.75,2,133,0,0,0,42.0
12,4,ad_post,phones,urban,android,39.8,0,0,1,54.26,7,152,0,0,1,9.6
13,4,ad_post,electronics,rural,android,94.0,4,0,1,124.6,5,96,0,0,0,6.4
14,1,message_send,bikes,metro,android,27.0,6,1,1,493.95,3,267,0,0,0,11.3
15,4,message_send,other,metro,ios,532.8,6,0,1,829.1,2,219,1,0,0,9.8
16,5,message_send,phones,rural,android,80.6,3,0,1,34.9,1,164,0,0,0,
17,2,message_send,bikes,urban,ios,65.3,5,0,0,288.65,6,119,0,0,0,
18,4,message_send,fashion,metro,ios,18.0,4,0,0,153.99,6,89,0,1,1,6.8
19,4,message_send,other,metro,ios,37.0,2,0,1,41.26,1,105,0,1,0,6.5
20,4,ad_post,furniture,urban,android,30.7,3,0,0,167.69,1,91,0,0,0,51.3
21,2,ad_post,other,rural,android,142.3,3,0,2,132.58,4,41,0,0,0,6.7
22,4,ad_post,electronics,urban,web,16.7,3,0,0,65.27,2,107,1,0,1,16.6
23,4,message_send,fashion,rural,ios,46.8,2,1,1,,1,161,0,0,0,11.0
24,5,ad_post,other,metro,android,83.5,4,0,0,148.5,5,25,0,0,0,35.7
25,4,message_send,other,metro,android,15.4,5,0,2,181.02,5,59,0,0,0,7.1
26,5,message_send,bikes,metro,android,229.5,6,1,1,53.55,2,112,0,0,0,26.4
